Word:,Definition:
false imprisonment,Intentionally detaining another person without the right to do so.
false pretenses,Untrue statements made for the purpose of obtaining money or property fraudulently.
family court orientation,"A class that prepares parents for court-ordered mediation. A counselor talks to parents about how their relationship affects their children, and explains custody and visitation."
family court services,Services provided by Family Court that help parents with child custody and visitation issues.
family court,"A court that takes cases involving family law, such as child custody. "
family farmer,"For Chapter 12 Bankruptcy, a person, married couple, corporation, or partnership that operates a farm has a certain level of income and debt."
family law,"An area of law dealing with family relations including divorce, adoption, paternity, custody, and support."
family support,Child support + spousal support = family support (in one single payment).
federal common law,Case law developed in the federal courts.
federal courts,"A branch of the U.S. government (the judiciary), there are 3 levels of federal courts: the U.S. Supreme Court, which is highest court in the n nation, the U.S. courts of appeals, and U.S. district courts."
Federal Employer Identification Number (FEIN),A 9-digit tax identification number assigned to all employers by the Internal Revenue Service (IRS).
federal public defender,A lawyer who works for the federal courts on a full-time basis to provide legal defense to defendants who are unable to afford an attorney.
federal-question jurisdiction,"The subject-matter jurisdiction of the U.S. federal courts in civil cases because of violation of the U.S. Constitution, federal law, or treaty involving the U.S."
fee (in),"Ownership of land, sometimes conditional ownership."
fee simple absolute,Ownership of land that is inheritable and mortgagable without limitation.
fee simple on condition subsequent,Ownership of land that may be terminated and taken over by the grantor (defeasible) upon the occurrence of a certain event.
fee tail,Ownership of land (now abolished) that required property to be passed only to the descendants of a certain person.
fee waiver,Permission not to pay the court's filing fees. People with very low income can ask the court clerk for a fee waiver form.
felon,"A person who has been convicted of a felony, which is a serious crime."
felonious assault,Assault that is classified as a felony and involves the infliction of serious bodily injury with a dangerous weapon.
felonious,Relating to a felony.
felony murder,A murder that occurs during the time that another serious felony is committed.
felony,A serious crime that can be punished by prison time.
fictitious defendants,"Is a person who starts a lawsuit but is not sure if there are unknown people in the case, those people are given fictitious names, usually Doe I, Doe II,"
fictitious name,"A fictitious name is the name a company uses to do businesses. Also called, dba or doing business as."
fiduciary duty,"A duty, such as for an agent or trustee, to act with loyalty and honesty and in the best interests of the beneficiary of the fiduciary relationship."
fiduciary relationship,A relationship in which a person trusts and relies on another person who has a duty to act in the best interests of the other.
fiduciary shield doctrine,A practice of barring a state from exercising personal jurisdiction over a defendant who lives in another state if the lawsuit has to do with things done in his or her capacity as a corporate agent or employee.
fiduciary,"A person or company that has the power and obligation to act in the best interests of another in situations that require total trust, good faith, and honesty. Fiduciaries can include trustees, business advisers, attorneys, guardians, administrators of estates, real estate agents, bankers, stock brokers, title companies, or anyone who undertakes to assist someone who places complete confidence and trust in that person or company."
filing fee,A fee charged by a court or other public office to process a document.
final beneficiary,"The person or institution designated to receive trust property when a life beneficiary dies. For example, Jim creates a trust through which his wife Jane receives income for the duration of her life. Their daughter, the final beneficiary, receives the trust principal after Jane's death."
final decree,A final judgment in a court case.
final judgment,The final determination of a court case.
final settlement,An agreement reached by the people or entities involved in a lawsuit. It is usually in writing or read into the record in court and settles all issues of the lawsuit.
financial hardship,"special financial problems that are out of the ordinary, such as health care needs for a child with a serious illness."
financial responsibility law,A law that requires a driver involved in an accident to provide proof of the ability to pay a judgment against him or her
finder's fee,"A fee charged by real estate brokers and apartment-finding services in exchange for locating a rental property. These fees are permitted by law. Some landlords, however, charge finder's fees merely for renting a place; this practice is not legitimate and, in some areas, is illegal."
finding,When a judicial officer or jury says something is a fact.
fine,The money a person must pay as punishment for doing something illegal or for not doing something they were supposed to do.
firm offer,"An offer (usually in writing) that says it may not be withdrawn, revoked, or amended for a specific period of time. If the offer is accepted without a change during that period, there is a firm, enforceable contract."
firm,A business formed by one or more lawyers to practice law.
first degree murder,"A murder that was premeditated or committed during the course of a serious felony, such as kidnapping, and requires the most serious punishment under the law."
first lien,"A lien that has priority over all other claims of the same general category, but not necessarily over taxes."
fitness,"A parent's level ability to provide for a child's best interests. In evaluating a parent's fitness, a court may consider many factors, including the parents' financial and marital stability, career obligations, other children, physical and mental health, and criminal history."
fixed annuity,An annuity that provides payments of a set amount for the recipient's life or some other specified term.
fixed asset,"Long-term tangible property owned by a business that cannot be converted quickly to cash or used up in ordinary business operations, such as machinery, buildings, fixtures, and equipment."
flight,Running away or hiding to avoid arrest or prosecution.
floating lien,"A lien against property owned by a debtor and listed in a security agreement, which will also include property acquired after the agreement is made."
forbearance,"Voluntarily agreeing to not assert a legal right. For example, a creditor may forbear on its right to collect a debt by postponing collection or reducing a borrower's payments."
force majeure,"A term in a contract that excuses performance if that performance becomes impossible because of some unpredictable event, sometimes called an act of God, such as a hurricane or bomb."
forced sale,"When property is taken from the owner and sold by a creditor as authorized by a court order, such as in a bankruptcy or foreclosure."
forcible entry,Taking possession of a building or land through force or serious threats against the occupants.
foreclosure,The legal process that a lender uses to take possession of property when the borrower has not made mortgage payments. Banks use foreclosure to remove borrowers from their homes.
foreign corporation,"A corporation registered under the laws of a different U.S. state or country. In the U.S., it usually refers to an out-of-state corporation. Out-of-state corporations must file a notice of doing business in any state in which they do business."
foreign divorce,"A divorce obtained in a different U.S. state or country. A foreign divorce is generally valid if the spouse who asked for the divorce is a resident of the state or country that approved the divorce, and both spouses agreed to the jurisdiction of the court where the divorce was processed."
Foreign Student F-1 Nonimmigrant Student,"A foreign, academic student who is authorized to study in the U.S. as a full-time student at an accredited college, university, seminary, conservatory, academic high school, elementary school, or other academic institution or in a language training program."
Foreign Student M-1 Nonimmigrant Student,"A foreign, vocational student who is authorized to participate in a vocational or non-academic program."
forensic testimony,Testimony given by an expert witness who has been certified as an expert in the subject matter.
foreperson,"When a jury first meets to decide a case, they select one member of the jury to speak on their behalf and carry out certain administrative duties; s/he is their foreperson."
foreseeability,"The ability to anticipate the potential impact of an action, such as damage or injury that may happen due to negligence."
foreseeable risk,A likelihood of damage that a reasonable person could anticipate in a given set of circumstances.
forfeit,"To lose property or rights as a penalty for violating the law. For example, a driver may have to forfeit his/her driver's license because of a drunk driving conviction."
forfeiture,Loss of money or property caused by a failure to meet a legal obligation.
forger,"Someone who creates or uses a falsified document, signature, or other imitation of something of value."
formal contract,"A contract made binding, usually by signature and exchange of copies or other formality."
forthwith,"A term found in contracts, court orders, and statutes, meaning as soon as can be reasonably done. It implies immediacy, with no excuses for delay."
forum,Refers to the court where a lawsuit is filed or where a hearing or trial takes place. The appropriate forum depends on which court has jurisdiction over the parties and the subject matter of the case.
forward contract,A private investment contract in which a buyer commits to purchasing something in the future at a specified price.
foster care,Temporary care provided to children who are unable to live in their parents or other primary care givers.
foster child,A child placed by a government agency or a court in the care of someone other than the child's natural parents. Foster children may be removed from their family home because of parental abuse or neglect.
foster parent,An adult who takes over care of a child who has been placed in the foster care system because the child can no longer live with his own family.
franchisee,An individual or entity that was given a franchise.
franchiser,An individual or entity that approves a franchise; also spelled franchisor.
fraud,Wrongful deception intended to produce financial or personal gain.
fraudulent transfer,A transfer of property intended to produce financial or personal gain for one of the parties involved.,LawNY,
freedom of contract,A right to make contracts without government restrictions.
freehold,"An old English term for property ownership for an indefinite period of time, such as during one's lifetime."
fugitive,A person suspected of doing something wrong who runs away or tries to escape the law.
full disclosure,"The sharing of information, required in certain situations, such as real estate transactions, for both sides to tell the whole truth about all relevant information."
future interest,"A right to own property sometime in the future, either on a particular date or upon the occurrence of an event."
gag order,"A court order that tells the lawyers, witnesses, jury, parties and others involved in a court case to not talk about the case."
garnish,To set aside funds (usually through payroll) and send that money to pay some debt.
general appearance,"The first time an attorney appears in court for a client. After his/her general appearance, the attorney is responsible for all future appearances in court, unless s/he sends a substitute lawyer or s/he is fired by the client."
general bequest,A gift of money in a will.
general counsel,A lawyer who serves as the chief of a legal department.
general damages,"Money won in a lawsuit for injuries suffered or breach of contract the value of which is difficult to calculate. It may include: pain and suffering, compensation for a shortened life expectancy, and loss of companionship.",LawNY,
general denial,"An answer to a lawsuit or claim, in which the defendant denies everything alleged in the complaint without specifically denying any allegation."
general jurisdiction,Jurisdiction that is not limited to a particular type of case.
general law,A law that applies to an entire state or specific cities in a state.
general ledger,An accounting that includes double-entry entries for a business.
general lien,"A lien that is meant to pay a debt, but is not limited to a certain property owned by the debtor."
general partner,"A person who along with another owns and operate a business, and is personally liable for all business's debts and obligations."
general plan of conservatorship,A conservator's written plan for managing the conservatee's personal and financial needs. (California)
general plan,"A term used to describe a land-use document that shows or establishes zones for different types of development, uses, traffic patterns, and future development in a city, county, or other area."
general power of attorney,A document that authorizes the designated person (an agent) to make a broad range of decisions for the person who created the document.
general verdict rule,The application of a jury's general verdict in favor of one party on an to all other issues in the case.
general warrant,A warrant that gives a law enforcement officer broad discretion or authority to search and seize unspecified places or persons. General warrants are unconstitutional because of the lack of specificity.
genetic testing,"A medical test to determine legal fatherhood (or ""paternity"")."
gift tax,"A federal tax that applies to property given away during life or left at death. Most gifts made during life are not taxable, including gifts of up to $13,000 per year per recipient, gifts to tax-exempt charities, gifts to your spouse, and gifts made for tuition or medical bills."
gift,1. To transfer property without payment or conditions.
gift,2. Something that is transferred to another person without payment or conditions.
give consideration to,"Consider, think about."
give recognition to,recognize
good cause,A legally sufficient reason for some action.
good consideration,"A reason for doing something based on love, affection, generosity, or duty."
good faith,"Honest effort to do something, with no intent to defraud someone."
good title,Title to property that is valid in fact or law or beyond a reasonable doubt.
goods,"Items held for sale in a business, such as a retail store."
goodwill,"An intangible benefit of a business because of its name and good reputation. In an acquisition, goodwill is valued as the amount paid for the business above the fair market cost of all the business's assets."
governing law,"Also known as a choice of law, a term in a contract that specifies which states laws should be followed if the contract is disputed."
grace period,The period of time during which a debtor is not required to make payments on a debt and will not be charged a fee.
grand jury,A group of 16 to 23 citizens who listen to the prosecutor's evidence of criminal allegations and decide if there is probable cause to believe a person committed a crime and to charge them with that crime.
grand larceny,"The crime of theft of another's property over a certain value set by state law (for example, $500)."
grand theft,"Theft of property or services with a monetary value over a specified amount, or of a specified kind of property (as an automobile)."
grandfather clause,"A condition in a law that limits its application to individuals or businesses that are new to the system, while those already in the system are exempt from the new regulation."
grant deed,"A deed to real estate that implies that the person transferring the property actually has good title and that there are no liens on the property, except as described in the deed. This is the most commonly used type of deed."
grant,"Approve, make (an order)."
grantee,Someone who receives title to real estate from a seller (grantor) in a document called a grant deed or quitclaim deed.
grantor trust,A trust that is made by an agreement that is not a will. The Trustor maintains control of the property.
grantor,Someone who transfers ownership of real estate through a grant deed.
gravamen,The essential grievance of a lawsuit.
green card,"A well-known term for an Alien Registration Card, which is given to people who are legal permanent residents of the U.S.."
gross estate,All of the deceased's real and personal property at death that may be passed by will or inheritance.
gross income,"The total income of a person or business from all sources, before subtracting adjustments, exemptions, or deductions allowed by tax law."
gross lease,"A commercial real estate lease in which the tenant pays a fixed amount of rent per month or year, regardless of the landlord's operating costs, such as maintenance, taxes and insurance."
gross negligence,A lack of care that is so great that it appears to be a conscious violation of other people's rights to safety.
guarantee,"To agree to pay another person's debt or perform another person's duty, if that person does not do so."
guaranteed signature,"A signature that is witnessed by another person, usually a bank employee who is qualified to guarantee signatures."
guarantor,A person who promises to be responsible for the debt of another person if that person does not pay the amount of debt owed on time.
guardian ad litem,A court-appointed adult that represents a minor child or legally incompetent person.
guardian,"An adult who is appointed by a court to control and care for a minor or a minor's property. Someone who looks after a child's property is usually called a ""guardian of the estate."" An adult who has legal authority to make personal decisions for the child, including responsibility for his physical, medical, and educational needs, is often called a ""guardian of the person."""
guardianship established on,A phrase used in courts to indicate that someone became the legal guardian on a certain date.
guardianship,A legal relationship created by a court between a guardian and a ward--either a minor child or an incapacitated adult.
guest statute,a statute that prevents non-paying passengers from suing the driver or owner of a car for accidental injuries except in cases of gross negligence or willful misconduct.
guest,"A person who does not have the same rights as a tenant, for example, someone who stays in a hotel for fewer than seven days."
guidelines,"In family law, a standard method to calculate child support payments based on the income of the parent(s) and other factors according to state law. The Federal Family Support Act of 1988 says states must use guidelines to calculate support for each family unless there is a written court finding saying the guidelines would be inappropriate for that case."
guilty plea,When a person admits in court that he or she is guilty of the crime charged.
guilty verdict,A legal decision that a defendant committed a crime. Or when a defendant admits he or she committed a crime.
gun control,"Term used to describe federal, state, and local laws and efforts that regulate how guns are sold, carried, used, and owned in the U.S."
habeas corpus,The name of a writ used to bring a person before a court or judge to decide whether that person is being unlawfully denied his or her freedom. The term comes from Latin.
habitual criminal,"A person who has been convicted of multiple crimes, a fact that may increase punishment for any future criminal convictions."
habitual residence of the children,The children's usual home.
half blood,Siblings who share only one parent; a half brother or half sister.
harassment,"A crime usually involving unwanted contact, stalking or threats. Specific definitions will vary by state. "
harmless error,An error by a judge in a trial that an appellate court finds was not damaging enough to justify reversing the trial court judgment.
hate crime,"A criminal act against a person, property, or society that is motivated by another person's (usually the victim's) race, color, religion, national origin, gender, sexual orientation, gender identity, or disability. A hate crime is a violation of the victim's civil rights."
have representation,To have a lawyer.
hazard insurance,"A type of insurance, usually part of a homeowners' or business policy, that protects against damage to the property caused by unexpected and sudden events, such as fires, storms, and vandalism."
headnote,"In a printed legal opinion, the summary appearing above the decision that summarizes the key legal points of the case."
hearing,"A formal court proceeding with the judge and opposing sides present, but no jury."
hearsay,A statement made outside the courtroom and offered in court as evidence.
hedonic damages,Damages that compensate for the loss of enjoyment of life due to a wrongful act. Hedonic damages are not recognized in all jurisdictions.
heir apparent,The person(s) expected to inherit from the estate of a family member.
held to answer,A judge's decision at the end of a preliminary hearing in a trial court saying there is enough evidence against the defendant to have a trial.
held,"Decided or ruled, as in ""the court held that the contract was valid."""
hereafter,"After this, from this point on."
heretofore,"Before this, before this point."
high court,"Usually refers to the court of last resort in the U.S., the U.S. Supreme Court."
high crime,"An infamous, immoral crime, not always a felony."
high seas,International marine waters not included in the territorial waters of any country.
high-low agreement,A settlement that depends on a jury's award of damages and that sets a minimum and maximum amount a defendant will pay the plaintiff.
highway,"Any public street, road, or turnpike that any member of the public has the right to use."
hold harmless,"In a contract, a promise by one party not to hold the other party responsible if the other party carries out the contract in a way that causes damage to the first party."
holder,"Anyone in possession of property. Often, holder refers to someone who has a promissory note, check, or bond."
holding cell,A cell inside a courthouse where prisoners are kept before and after their court appearance. Also called lockups and sometimes bullpens.
holding company,"A company, usually a corporation, that owns and controls other companies."
holdover tenant,"A tenant who continues to occupy a residence after the term of the lease or rental agreement has expired, and without the consent of the landlord. To remove a holdover tenant, the landlord must give the tenant a notice to quit (get out). If the tenant does not leave, the landlord must go to court and file an unlawful detainer (eviction) lawsuit."
holographic will,"A will that is completely handwritten, dated and signed by the person making it. Holographic wills are generally not witnessed and may be in the form of a letter."
home confinement,"A type of detention, instead of a jail sentence, where the detainee stays at home, except for authorized activities. Most detainees under home confinement must wear electronic monitoring equipment attached to the wrist or the ankle. Also called home detention."
home equity,The current market value of a house minus how much is owed on it. A home equity loan borrows against this amount.
home rule,"The power of a local city or county to act independently, for example, sin enacting local ordinances. In the U.S. system, this power must ordinarily be approved by the state government."
home study,"An investigation of prospective adoptive parents to make sure they are fit to raise a child. The study will look at the parents' financial stability, marital stability, lifestyles and other social factors, physical and mental health, and criminal history."
homestead exemption,"A legal protection of a person's home from seizure from creditors. Some states exempt all of a homeowner's primary residence from repayment of debts, other states exempt all of a homeowner's primary residence only if it is under a certain size, and other states only exempt a certain dollar amount of the homeowners equity."
homestead,"1. The house where a family lives, plus any adjoining land and other buildings on that land."
homestead,2. Real estate that is not subject to the claims of creditors as long as it is occupied as a home by the head of the household.
hometowned,Slang for a lawyer or client suffering discrimination by a judge who favors locals over out-of-towners.
homicide by misadventure,Death that occurs as the result of an accident caused by a person doing a lawful act with no unlawful intent.
honor camp,A rehabilitation program run by the probation department that accepts low-risk and nonhabitual offenders.
honorary trust,A trust created for a purpose that is not charitable and does not name a specific beneficiary.
hostile environment harassment,"Workplace discrimination consisting of unwelcome, offensive and repeated conduct, such as comments, jokes, or acts, related to the victim's legally protected classification (as race, religion, ethnic origin, or age) that interfere with the victim's work performance or create a hostile work environment."
hot pursuit,"An exception to the general rule that police officers need an arrest warrant before they can enter a home to make an arrest. If a felony has just occurred and an officer has chased a suspect to a private house, the officer can forcefully enter the house in order to prevent the suspect from escaping or hiding or destroying evidence."
household member,A person who lives in the same home.
household,"People living together in one dwelling, who may or may not be related."
housing court,"Housing Courts are special courts used by many large cities to deal with disputes between landlords and tenants, housing code violations, and other housing cases."
human trafficking,"Recruiting, transporting, taking or keeping people for some profit, including forced labor or sexual exploitation."
hung jury,"A jury unable to come to a final decision, resulting in a mistrial. If a mistrial is declared, the case is tried again unless the parties settle the case (in a civil case) or the prosecution dismisses the charges or offers a plea bargain (in a criminal case)."
hypothecate,To borrow against some property.
ICE,"An abbreviation for U.S. Immigration and Customs Enforcement, an agency of the Department of Homeland Security. ICE's mission is to promote homeland security and public safety through criminal and civil enforcement of federal laws governing border control, customs, trade, and immigration."
Idda,Muslim law: The mandatory waiting period before a divorce created by talaq becomes effective.
identity theft,The wrongful taking or using another person's identifying information for the purpose of fraud or other criminal activity.
IEP,"Stands for ""individualized education program."" An IEP is designed to meet the exceptional educational needs of public school students that are eligible for special education services."
ignorance of the law,"Not knowing about or understanding a law is not an adequate defense. Often cited in Latin, ""Ignorantia Juris Non Excusa."""
illegal,Against or not authorized by the law. Also called illicit or unlawful.
illicit,"Unlawful or prohibited. For example, the laws may make it a crime to engage in ""illicit trade"" or possess ""illicit drugs."""
illusory promise,"A promise that pledges nothing, because it is vague or because the promisor can choose whether or not to honor it. Such promises do not create contracts and are not legally binding."
immaterial,"A common objection to introducing evidence in a trial, claiming that the evidence is of little importance to the issues of the case."
immigrant visa,"A type of U.S. visa that a U.S. consulate or embassy issues to people who have just qualified for U.S. permanent residence (a ""green card""). The immigrant visa enables the holder to enter the U.S., take up permanent residence, and receive his or her green card."
immovable,"Land and fixtures thereto, civil law term."
immunity,"An exemption that a person enjoys from the normal operation of the law such as a legal duty or liability, either criminal or civil. There are four types of legal immunity:  (1) a promise not to prosecute for a crime in exchange for information or testimony in a criminal case granted by the prosecutors, a judge, a grand jury, or an investigating legislative committee (2) public officials' protection from liability for their decisions (like a city manager or member of a public hospital board) (3) governmental immunity, which protects public agencies from lawsuits unless the government agreed to be sued (4) diplomatic immunity, which excuses foreign ambassadors from most U.S. criminal laws."
impaired,"Having decreased judgment and physical ability, usually describes a person's ability to drive under the influence of alcohol."
impanel,To select a jury and assign the jury to decide a court case.
impaneling,The act of selecting a jury from a list of potential jurors.
impeach,"To discredit, for example, to show that a witness is not believable."
impleader,A procedure in which one party brings a third party into a lawsuit. Usually a defendant initiates the proceeding to show that the third party is liable to the plaintiff.
implement,"Carry out, follow."
implied consent,"Consent when surrounding circumstances exist that would lead a reasonable person to believe that this consent had been given, although no direct, express, or explicit words of agreement had been uttered."
implied undertaking rule,The rule that requires a party to whom documents are produced within litigation to not use them for collateral or ulterior purposes.
implied warranty of habitability,"A legal rule that requires landlords to keep their rental units fit for people to live in, including running water, heating, sanitary conditions, etc."
implied warranty,A guarantee that is not written down or explicitly spoken.
impound,"When the court or police take possession of personal property or animal. The property may be returned to the owner at the end of the proceeding or it may be forfeited to the state (for example, in the case of illegal drugs)."
impute,"To attach or ascribe, for example, a family court judge may impute income to a spouse who refuses to work."
in camera,"A meeting that takes place in the judge's office or in a court with all spectators (including the jury) excluded. From the Latin for ""in chamber."""
in defense of life,A justification for self-defense.
in extremis,Facing imminent death.
in forma pauperis,A Latin phrase meaning permission given by a court to allow a person to file a case without paying the required court fees because the person cannot afford to pay them.
in lieu of,instead of
in limine,"Latin for ""at the beginning"" or ""at the threshold,"" such as a motion in limine at the beginning of trial to ask that certain evidence be excluded."
in loco parentis,"A person who is not the natural parent, but has acted as a parent to a child."
in propria persona (in pro per),"When a person goes to court without a lawyer. Also called ""pro se."""
in the event that,if
in the interest of,for
in the matter of,Name of case:
in-person service,Delivery of legal documents by handing them to someone.
inadmissible evidence,Testimony or other evidence that does not comply with the legal rules about the types of evidence that can be presented to a judge or jury.
inalienable,Not transferable; impossible to take away.
incapacity,1. A lack of physical or mental abilities that cause a person to be unable to manage his or her own personal care or finances.
incarcerate,To put in jail.
incest,"Sexual contact between close blood relatives, including brothers and sisters, parents and children, grandparents and grandchildren, or aunts or uncles with nephews or nieces. Incest is a crime in all states, even if consensual by both parties."
incestuous marriage,Marriage between blood or half relatives.
inchoate,"Something that has begun but has not been completed, such as a potential crime for which all the elements have not been accomplished, or a contract that has not been formalized."
incompatibility,"A conflict in personalities that makes married life together impossible. In a number of states, incompatibility is the accepted reason for a no-fault divorce."
incompetence,"1. Lack of legal ability to do something, especially to testify or stand trial. Also known as ""incompetency."" May be caused by inability, unfitness, or age."
incompetent evidence,Evidence that is inadmissible because it is irrelevant or immaterial to the issues in the lawsuit.
incontrovertible evidence,Evidence that can lead to only one conclusion.
incorporeal,Legal rights that are intangible such as copyrights or patents.
incriminate,"To suggest, charge, accuse, show, or admit involvement in a crime."
inculpatory evidence,Evidence indicating that a defendant did commit the crime.
incumbent upon,must
indecent exposure,"Revealing one's genitals under circumstances likely to offend others, a misdemeanor in most states."
indefeasible,"Incapable of being changed or voided, usual describes a type of ownership in real property that cannot be changed."
indemnify,To guarantee against a loss or damage that another might suffer.
indemnity,"Money paid to compensate for a loss, injury, or damage."
indenture (general),"1. Generally, any written agreement between two parties."
independent contractor,"A legal category of worker that is different from an employee. Employers do not have to withhold and pay federal, state, and Social Security (FICA) taxes for independent contractors, as they must do for employees."
independent source doctrine,"A principle of law that maintains that evidence initially discovered during an unlawful search, but later obtained independently through activities untainted by the illegality, may be admitted into evidence."
independent trustee,A trustee who is not related to the beneficiary of the trust and does not stand to inherit any property under the trust. Independent trustees are preferred when family members are likely to disagree over management of the trust.
indeterminate sentence,"A prison sentence expressed in a range of years, such as ""five to ten years"". The state parole board holds hearings that determine when, during that range, the convicted person will be eligible for parole."
Indian canon,A principle of statutory interpretation that statutes should be interpreted liberally in favor of Indians.
Indian Child Welfare Act (ICWA),A federal law that courts follow to protect the best interests of Indian children and to support their connections with their tribes and cultures. It applies to your family only if your adopted or foster child is a member of an Indian tribe.
indicate (show),"Show, say."
indicated (appropriate),"called for, appropriate"
indictable offense,"A crime that the prosecutor can charge by bringing evidence of it to a grand jury. These are serious crimes that include murder, manslaughter, rape, kidnapping, grand theft, robbery, burglary, arson, conspiracy, and fraud, as well as attempts to commit them."
indictment,The formal charge issued by a grand jury stating there is enough evidence that a defendant committed the crime to justify a trial.
indigent,"This term usually refers to a person who is poor, needy, and has no one to look to for support.",LawNY,
indirect contempt,"Contempt of court that takes place outside of the courtroom, but is thought to devalue the court or the court's administration of justice.",Pls consider adding this text.,
indispensable party,A person or entity (such as a corporation) that must be included in a lawsuit in order for the court to make a final judgment.,LawNY,
inducing breach of contract,"An intentional, economic tort; knowingly and intentionally procuring the breach of a contract, without lawful justification, causing damage to another party to the contract.",LawNY,
ineffective assistance,"In constitutional law, a valid reason for reversing a criminal determination because relevant legal advice was deficient and prejudicial.",Pls consider this version instead.,
infanticide,Murder of an infant soon after its birth.,LawNY,
inference,A conclusion arrived at by logically drawing on other known facts.
inform,"Tell, report to."
information,A written statement of the charges against a defendant.,LawNY,
informed consent,"An agreement to do something or to allow something to happen, made with complete knowledge of the relevant facts, risks, and available alternatives.",Pls consider this version instead.,
infraction,"A minor violation of law commonly punishable by a fine, for example, a traffic or parking ticket."
inherit,"To receive property from someone who has died. Traditionally, the word ""inherit"" applied only when one received property from a relative who died without a will. Currently, however, the word is used whenever someone receives property from the estate of a deceased person."
inheritance tax,"A tax some states impose on people or organizations who inherit property from a deceased person. The tax rate depends on the inheritor's relationship to the deceased person; typically, spouses or children pay no tax, but less closely related inheritors do pay inheritance tax."
inheritance,Property received upon the death of a relative due to the laws of descent and distribution.
inhibition,A legal procedure to prevent a debtor from compromising property upon which a creditor holds a charge.
initiate,begin
initiating jurisdiction,"The state or county court, or administrative agency, that sends a request for action to another jurisdiction in interstate child support cases."
injunction,A court order that prohibits a party from doing something (restrictive injunction) or compels them to do something (mandatory injunction).
injunctive relief,"A court-ordered act or prohibition against an act requested in a petition to the court. In most cases, injunctive relief is granted only after a hearing at which both sides have an opportunity to present testimony and legal arguments."
injury,"Harm done to a person by the acts or omissions of another. Injury may be physical or may involve damage to reputation, loss of a legal right, or breach of a contract."
innocent,"Not a legal term, but often used to refer to defendants found ""not guilty""."
installment payments,"Weekly, monthly, or other periodic payments on a debt."
instructions to jury,"Instructions given by a judge to a jury immediately before they decide a case, telling the jury what laws apply to that case. ","Instructions that a judge gives a jury just before they meet to decide a case, telling the jury which laws apply to that case. ",
insubordination,Disobeying a supervisor's legal instructions intentionally
insufficient evidence,"Evidence so inadequate that a court will find that it has no basis to proceede, and will most likely dismiss the case."
intellectual property,"Includes books, inventions, business secrets, and trademarks that are created by the human mind, and typically protected by patent, copyright, trademark, and trade secret laws."
intent,"The mental desire to act in a particular way. Intent is often required to find a person guilty of a certain crime, or it helps define what kind of crime was committed."
intercept,"When nonwage payments (federal or state income tax refunds, unemployment benefits, and disability benefits) are given to a custodial parent who is owed support rather than the noncustodial parent. ","When certain kinds of payments, such as income tax refunds, unemployment benefits, or disability benefits, are diverted from one parent then given to the other parent who has custody of their child/ren and is owed child support. ",
intercountry,"international, this term is often used in adoption cases."
interested witness,A witness in a trial who has a personal interest in the outcome of the case.
interim order,"A temporary order that a judge makes, usually lasting until the hearing or trial where decisions about a final order will be made."
intermittent leave,"Leave taken under the Family and Medical Leave Act (FMLA) in separate blocks of time, rather than all at once. "
interpleader,"When 2 or more people say they have a claim to the same thing held by a third party, the third party can deposit the disputed property with the court and allow the court to settle the dispute."
interpreter,"A person certified to translate, orally or in writing, spoken or sign language into the common language of the court."
interrogate,question
interrogation,"Vigorous questioning, usually by the police of a suspect in custody.  "
interrogatories,A way of collecting information before a trial through written questions to be answered in writing and under oath.
interstate cases,"Child support cases where the dependent child and the parent that owes support live in different states, or other cases where 2 or more states are actively involved."
intervene,"To enter into a lawsuit that has already started between other parties, because another claimant has a claim that is related to the existing case. "
intervening cause,"An event that happens after one person's action and before the eventual damage of the action, breaking the direct chain of causation and potentially relieving the person of liability for his/her action."
intestate,To die without making a will or leaving instructions for disposal of your property after death.
intoxication,The condition of being under the influence of alcohol or drugs.
involuntary,"To act without intent, will, or choice."
irreconcilable differences,"Continuing differences that cannot be solved that lead to the breakdown of a marriage, and the most common basis for granting a no-fault divorce. "
irregular,Unusual or not occurring at predictable times.
irrelevant,Not pertinent to an issue before the court and the most common objection raised by lawyers during testimony.
irreparable injury,"Harm that no monetary compensation can cure or reverse, such as polluting a stream. "
irrevocable trust,A permanent trust that cannot be changed in any way.
IRS regulations,IRS written interpretations of selected parts of the Internal Revenue Code.
is able to,can
is applicable to,applies to
is authorized,may
is binding upon,binds
is concerned with,concerns
is empowered,may
is unable to,cannot
issue,The disputed point between parties in a lawsuit.
"IV-A (""4-A"") case",A child support case where a custodial parent and child(ren) get public assistance benefits under the state's IV-A program (funded by title IV-A of the Social Security Act).
"IV-D (""4-D"")","Title IV-D of the Social Security Act, requires states to provide child support assistance including:  locating noncustodial parents, establishing paternity, establishing and enforcing child support obligations, and collecting child support payments. "
"IV-E (""4-E"")","Title IV-E of the Social Security Act established a federal-state foster care program that gives financial support to a person, family, or institution that is raising a child or children not their own."
J.D.,"juris doctor, a graduate degree in law."
Jane Doe,A fictitious name used for a possible female in a case who is unknown at the time a complaint is filed.
jeopardy,"Risk to a defendant of possible conviction and punishment, which applies once the jury has been sworn in."
Jim Crow law,Laws that discriminated against black Americans by requiring segregation.
John Doe,A fictitious name used for a possible male in a case who is unknown at the time a complaint is filed.
joinder,The joining together of several lawsuits or several parties into one lawsuit usually because the issues and the facts are the same for all plaintiffs and defendants.
joint,shared
joint and several,"Refers to a debt in which each debtor is responsible for the entire amount of the debt or judgment. If one of the debtors pays the entire debt, s/he may sue the other for his/her share of the debt."
